user_id,first_name,last_name,email_address,group_id,state
1,Jake,Runge,jwrunge@gmail.com,1,active
2,Mary,Runge,123@gmail.com,1,active
3,Max,Runge,456@gmail.com,1,active
4,Lucky,Runge,789@gmail.com,1,active
5,Sadie,Runge,101@gmail.com,2,active
6,Greg,Fitch,121@gmail.com,2,active
7,MJ,Fitch,141@gmail.com,2,active
8,David,Fitch,516@gmail.com,2,active
9,Nathan,Fitch,171@gmail.com,4,active
10,John,Doe,819@gmail.com,4,archived
11,Jane,Doe,202@gmail.com,4,archived
12,Ashley,Anderson,122@gmail.com,4,archived
